Tweet_ID,User_Name,Mentioned_User_Name,Author_Of_Original_Tweet,created_at,Location,Followers_Count,Following_Count,Listed_Count,Reply_Count,Quote_Count,Favourites_Count,Statuses_Count,Verified,Account_Creation_Date,Retweet_Count,In_Reply_to_user,Type_of_Tweet,Source,Text
1.35727E+18,Leorific,['GM'],GM,Thu Feb 04 10:06:19 +0000 2021,"England, United Kingdom",38,224,0,0,0,930,553,FALSE,Thu Jul 16 23:03:47 +0000 2009,0,,Retweet,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,melaproprisms,['simonahac'],GM,Thu Feb 04 10:05:42 +0000 2021,,210,442,0,0,0,51286,7755,FALSE,Sat Oct 12 06:17:09 +0000 2013,0,,Quote,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @simonahac: ok, this move to electric vehicles? it's moving much faster* than you think. #EVerybodyIn 

*elsewhere

[there goes the week…"
1.35727E+18,Kimol98183080,['simonahac'],GM,Thu Feb 04 10:04:42 +0000 2021,,166,108,0,0,0,73643,19500,FALSE,Sun Jun 07 02:20:27 +0000 2020,0,,Quote,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @simonahac: ok, this move to electric vehicles? it's moving much faster* than you think. #EVerybodyIn 

*elsewhere

[there goes the week…"
1.35727E+18,hanskan,['GM'],GM,Thu Feb 04 10:02:26 +0000 2021,"Tallinn, Estonia",2510,435,51,0,0,4021,11502,FALSE,Sun Jan 06 14:54:10 +0000 2008,0,,Retweet,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,GarconAU,['GM'],GM,Thu Feb 04 09:59:55 +0000 2021,"Perth, Western Australia",449,790,2,0,0,107124,11664,FALSE,Thu Aug 07 08:07:04 +0000 2014,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,Bogaloo_AUT,['GM'],GM,Thu Feb 04 09:56:11 +0000 2021,"Wien, Österreich",54,385,0,0,0,2023,1265,FALSE,Mon Jan 19 09:13:18 +0000 2015,0,,Retweet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,_MavenMarketing,['GM'],GM,Thu Feb 04 09:55:26 +0000 2021,"Taunton, England",2372,1376,52,0,0,2070,295,FALSE,Tue May 29 16:26:06 +0000 2012,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,grooviepantz,['GM'],GM,Thu Feb 04 09:54:36 +0000 2021,Melbourne,384,876,0,0,0,53718,24233,FALSE,Sat Jan 18 12:10:55 +0000 2020,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,oneryanalexandr,['GM'],GM,Thu Feb 04 09:53:26 +0000 2021,"Detroit, MI",26,430,0,0,0,1686,831,FALSE,Fri Sep 14 16:53:59 +0000 2018,0,,Retweet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,davrosz,['GM'],GM,Thu Feb 04 09:52:29 +0000 2021,Surfers Paradise (now),35172,24500,383,0,0,177066,193534,FALSE,Tue Jun 23 01:06:43 +0000 2009,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
